0,1
sent back a,a
backward aa,aa
retrograde aaa,aaa
upset aas,saa
ab turn,ba
aba brought about,aba
abac over,caba
abay going round,yaba
reversing abas,saba
abba going up,abba
abo backing,oba
reflection abrood,doorba
arising absi,isba
from the east abut,tuba
stuck up ac,ca
serve up acara,araca
acca looking up,acca
going back acce,ecca
backing acrid,dirca
ad rolling,da
reversing ada,ada
adad westbound,dada
adar sent back,rada
adda hauled up,adda
recede addda,addda
looking back adet,teda
adinida northbound,adinida
rise adman,namda
ado going north,oda
ados head over heels,soda
ae reversing,ea
going up aer,rea
aes climbing,sea
from the right aet,tea
going north af,fa
looking up aff,ffa
affa coming up,affa
ag raising,ga
aga arising,aga
going north agag,gaga
on the contrary agama,amaga
rotate agar,raga
keel over agas,saga
spun agenes,senega
revolution aget,tega
agger upwardly mobile,regga
agib up,biga
turns up agla,alga
agnat rolling,tanga
sent up agons,snoga
go west agos,soga
agrom rise,morga
stuck up agust,tsuga
raising ah,ha
in turn aha,aha
ahom turns up,moha
ahs capsized,sha
backfiring aht,tha
ai return,ia
ay sent back,ya
ayah the other way,haya
going back aid,dia
aider reflection,redia
upwardly mobile aiger,regia
aile overturned,elia
stuck up ailed,delia
retiring aim,mia
air retrograde,ria
brought about aira,aria
backed aire,eria
from the east airts,stria
ais flipping,sia
ajaja serve up,ajaja
ajar in turn,raja
ak spun,ka
brought about aka,aka
turn akka,akka
northbound ako,oka
turned al,la
ala flipped,ala
twisted alala,alala
about alap,pala
revolutionary alas,sala
alban bring up,nabla
ale retreating,ela
head over heels alem,mela
alga backing,agla
upside down alif,fila
backward allay,yalla
alle keel over,ella
allium the wrong way,muilla
keel over allo,olla
in turn alma,amla
on the contrary alo,ola
return alod,dola
recede als,sla
alula going north,alula
knock back am,ma
ama retreating,ama
retire amaga,agama
retreating amahs,shama
amal westbound,lama
amapa backed,apama
retire amar,rama
serve up amaroid,diorama
amedeo flipped,oedema
from the bottom amelu,ulema
amen going west,nema
reflection amene,enema
amex cast up,xema
retrograde ami,ima
amic spun,cima
turned amiced,decima
around amil,lima
amir retreating,rima
elevated amis,sima
climbing amla,alma
amma lifted,amma
retrograde amman,namma
ammos flipping,somma
amora the other way,aroma
up amos,soma
set back amrit,tirma
amunam go around,manuma
on the contrary an,na
ana all round,ana
anabas recede,sabana
counter anacara,aracana
anay retreat,yana
return anal,lana
anam going back,mana
back to front anan,nana
set back anana,anana
anasa brought about,asana
cast up anat,tana
skyward ande,edna
aneles overturn,selena
anes counter,sena
anger sent back,regna
anil turned,lina
stuck up anim,mina
put up animal,lamina
animes knock back,semina
animo from the right,omina
anis reversed,sina
anna looking up,anna
annam go north,manna
annat elevated,tanna
